"0,1-HCore","2,1-HCore","3,1-HCore","4,1-HCore"
98,0,0,0
98,0,0,0
98,2,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,2,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,2,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,2,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,0,0,0
98,2,0,0
13,0,0,0
14,0,0,0
16,0,0,0
17,0,0,0
17,0,0,0
16,0,0,0
14,0,0,0
16,0,0,0
13,0,0,0
14,0,0,0
17,0,0,0
17,0,0,0
17,0,0,0
14,0,0,0
51,0,0,0
14,0,0,0
105,0,0,0
106,0,0,0
55,0,0,0
56,0,0,0
21,0,0,0
14,2,0,0
29,0,0,0
53,0,0,0
14,0,0,0
109,0,0,0
105,2,0,0
92,2,0,0
106,0,0,0
41,0,0,0
96,2,0,0
27,0,0,0
56,0,0,0
39,2,0,0
17,0,0,0
53,0,0,0
48,2,0,0
37,0,0,0
47,0,0,0
277,0,0,0
287,0,0,0
92,0,0,0
106,0,0,0
41,0,0,0
59,0,0,0
16,0,0,0
56,0,0,0
95,0,0,0
17,0,0,0
277,0,0,0
287,0,0,0
46,0,0,0
55,0,0,0
40,0,0,0
59,0,0,0
56,0,0,0
53,0,0,0
106,0,0,0
41,0,0,0
96,0,0,0
55,0,0,0
105,2,0,0
106,0,0,0
96,0,0,0
56,0,0,0
21,2,0,0
39,2,0,0
12,2,0,0
53,0,0,0
6,0,0,0
3,0,0,0
3,0,0,0
92,0,0,0
106,0,0,0
96,0,0,0
39,0,0,0
7,0,0,0
37,0,0,0
40,0,0,0
105,2,0,0
27,0,0,0
92,2,0,0
46,0,0,0
77,0,0,0
56,0,0,0
21,2,0,0
53,0,0,0
37,0,0,0
40,0,0,0
109,0,0,0
105,2,0,0
92,2,0,0
106,0,0,0
41,0,0,0
36,0,0,0
56,0,0,0
53,0,0,0
48,0,0,0
17,0,0,0
16,0,0,0
109,0,0,0
105,0,0,0
106,0,0,0
96,2,0,0
55,0,0,0
59,0,0,0
17,0,0,0
53,0,0,0
164,0,0,0
32,0,0,0
48,2,0,0
18,0,0,0
15,0,0,0
96,0,0,0
36,0,0,0
56,0,0,0
53,0,0,0
37,0,0,0
12,0,0,0
47,0,0,0
40,0,0,0
277,0,0,0
42,0,0,0
109,0,0,0
18,2,0,0
18,3,0,0
18,3,0,0
18,2,0,0
18,3,0,0
14,0,0,0
19,3,0,0
18,2,0,0
40,2,0,0
164,3,0,0
43,2,0,0
18,3,0,0
5,0,0,0
46,0,0,0
13,0,0,0
164,2,0,0
81,0,0,0
32,0,0,0
40,0,0,0
287,0,0,0
164,2,0,0
287,0,0,0
77,0,0,0
164,2,0,0
18,0,0,0
105,0,0,0
106,0,0,0
56,0,0,0
277,0,0,0
49,0,0,0
77,0,0,0
164,2,0,0
81,0,0,0
19,0,0,0
277,0,0,0
287,2,0,0
41,0,0,0
18,2,0,0
44,0,0,0
31,0,0,0
95,0,0,0
277,0,0,0
78,2,0,0
164,3,0,0
96,2,0,0
5,0,0,0
277,0,0,0
287,2,0,0
92,0,0,0
106,0,0,0
27,0,0,0
21,2,0,0
44,2,0,0
19,2,0,0
29,0,0,0
29,2,0,0
53,2,0,0
48,0,0,0
29,2,0,0
17,0,0,0
40,0,0,0
92,0,0,0
106,0,0,0
6,0,0,0
277,0,0,0
42,0,0,0
29,0,0,0
6,0,0,0
109,0,0,0
41,0,0,0
16,0,0,0
164,0,0,0
43,0,0,0
12,0,0,0
40,0,0,0
11,0,0,0
29,0,0,0
78,4,5,0
287,2,0,0
25,4,5,0
41,0,0,0
46,2,0,0
164,2,0,0
96,2,0,0
14,0,0,0
16,0,0,0
16,0,0,0
14,2,0,0
29,2,0,0
9,0,0,0
19,0,0,0
287,0,0,0
164,0,0,0
81,0,0,0
52,0,0,0
10,0,0,0
19,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
39,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
37,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,2,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,2,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
47,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,2,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,2,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,4,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,2,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,6,15,9
277,6,15,9
277,6,15,9
277,6,31,20
277,4,5,0
277,6,15,9
277,4,5,0
277,6,38,20
277,6,37,20
277,4,5,0
277,4,5,0
277,4,5,0
277,2,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,3,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,2,0,0
277,4,5,0
277,2,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,2,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
277,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,2,0,0
42,0,0,0
42,2,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
42,0,0,0
109,2,0,0
109,0,0,0
109,0,0,0
109,0,0,0
109,2,0,0
109,0,0,0
109,0,0,0
109,0,0,0
109,2,0,0
109,0,0,0
109,4,0,0
109,0,0,0
109,2,0,0
109,3,0,0
109,2,0,0
109,2,0,0
109,3,0,0
109,3,0,0
109,2,0,0
109,2,0,0
109,0,0,0
109,2,0,0
109,0,0,0
109,3,0,0
109,0,0,0
109,3,0,0
109,2,0,0
109,2,0,0
109,0,0,0
109,0,0,0
109,3,0,0
109,2,0,0
109,2,0,0
109,0,0,0
109,2,0,0
109,2,0,0
109,0,0,0
109,3,0,0
109,3,0,0
109,0,0,0
109,0,0,0
109,0,0,0
109,4,0,0
109,3,0,0
109,0,0,0
109,0,0,0
109,0,0,0
109,0,0,0
109,3,0,0
109,2,0,0
109,3,0,0
109,0,0,0
109,0,0,0
109,2,0,0
109,0,0,0
109,4,0,0
109,2,0,0
109,0,0,0
109,0,0,0
109,0,0,0
109,2,0,0
109,2,0,0
109,2,0,0
109,0,0,0
109,2,0,0
109,4,0,0
109,2,0,0
109,3,0,0
109,3,0,0
109,2,0,0
109,0,0,0
109,2,0,0
287,4,0,0
109,3,0,0
109,2,0,0
109,3,0,0
109,0,0,0
109,2,0,0
109,2,0,0
109,2,0,0
109,0,0,0
109,2,0,0
109,0,0,0
109,0,0,0
109,2,0,0
109,0,0,0
109,3,0,0
109,4,0,0
109,0,0,0
109,4,0,0
109,0,0,0
109,0,0,0
109,0,0,0
109,2,0,0
109,2,0,0
109,3,0,0
109,0,0,0
109,2,0,0
109,3,0,0
109,2,0,0
109,2,0,0
109,2,0,0
109,3,0,0
109,2,0,0
14,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
13,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,0,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,0,0,0
105,2,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,2,0,0
105,0,0,0
105,0,0,0
105,2,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,2,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,2,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,2,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
105,0,0,0
287,2,0,0
92,0,0,0
106,0,0,0
46,0,0,0
41,0,0,0
96,0,0,0
55,0,0,0
36,0,0,0
40,0,0,0
32,2,0,0
59,0,0,0
46,0,0,0
96,2,0,0
36,0,0,0
59,0,0,0
49,0,0,0
39,2,0,0
18,0,0,0
48,2,0,0
12,0,0,0
106,0,0,0
48,0,0,0
78,2,0,0
27,0,0,0
164,2,0,0
96,2,0,0
92,2,0,0
106,0,0,0
55,0,0,0
59,0,0,0
49,0,0,0
16,0,0,0
39,2,0,0
95,0,0,0
15,0,0,0
14,0,0,0
46,0,0,0
34,0,0,0
95,0,0,0
10,0,0,0
10,0,0,0
106,0,0,0
12,0,0,0
44,0,0,0
39,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
78,3,0,0
78,3,0,0
78,4,0,0
78,3,0,0
78,2,0,0
78,2,0,0
78,3,0,0
78,4,0,0
78,3,0,0
78,4,5,0
78,2,0,0
78,4,0,0
78,2,0,0
78,3,0,0
78,3,0,0
78,3,0,0
78,4,0,0
78,4,0,0
78,4,0,0
78,2,0,0
78,3,0,0
78,2,0,0
78,3,0,0
78,2,0,0
78,2,0,0
78,4,6,0
78,2,0,0
78,0,0,0
81,4,0,0
78,2,0,0
78,4,5,0
78,2,0,0
78,3,0,0
78,2,0,0
78,0,0,0
78,2,0,0
78,0,0,0
78,3,0,0
78,2,0,0
78,2,0,0
78,0,0,0
78,0,0,0
78,3,0,0
78,3,0,0
78,0,0,0
78,4,0,0
78,2,0,0
78,2,0,0
78,2,0,0
78,0,0,0
78,0,0,0
78,4,0,0
78,2,0,0
78,0,0,0
78,2,0,0
78,2,0,0
78,0,0,0
78,0,0,0
78,2,0,0
78,0,0,0
78,0,0,0
79,2,0,0
78,0,0,0
78,2,0,0
78,0,0,0
78,2,0,0
78,2,0,0
78,0,0,0
78,0,0,0
78,0,0,0
78,0,0,0
78,0,0,0
92,2,0,0
96,2,0,0
27,0,0,0
49,0,0,0
77,0,0,0
32,0,0,0
48,2,0,0
46,0,0,0
51,0,0,0
34,0,0,0
25,2,0,0
49,0,0,0
41,0,0,0
287,3,0,0
92,0,0,0
106,0,0,0
59,0,0,0
27,0,0,0
21,3,0,0
32,0,0,0
14,0,0,0
15,0,0,0
13,0,0,0
287,2,0,0
46,0,0,0
55,0,0,0
40,0,0,0
32,0,0,0
41,0,0,0
46,0,0,0
40,0,0,0
46,0,0,0
40,0,0,0
32,2,0,0
49,0,0,0
41,0,0,0
29,0,0,0
287,2,0,0
41,0,0,0
29,0,0,0
287,2,0,0
12,0,0,0
11,0,0,0
11,0,0,0
11,0,0,0
15,0,0,0
18,0,0,0
287,2,0,0
27,0,0,0
27,0,0,0
27,0,0,0
27,0,0,0
27,2,0,0
27,0,0,0
27,0,0,0
27,0,0,0
27,0,0,0
27,2,0,0
27,2,0,0
27,0,0,0
27,0,0,0
27,2,0,0
27,0,0,0
27,2,0,0
27,2,0,0
27,0,0,0
27,0,0,0
27,0,0,0
27,2,0,0
27,2,0,0
27,0,0,0
27,0,0,0
27,0,0,0
287,2,0,0
92,0,0,0
106,0,0,0
46,0,0,0
41,0,0,0
40,0,0,0
18,0,0,0
27,0,0,0
287,2,0,0
106,0,0,0
55,0,0,0
32,2,0,0
40,0,0,0
15,0,0,0
14,0,0,0
14,0,0,0
287,2,0,0
40,0,0,0
49,0,0,0
16,0,0,0
77,0,0,0
164,2,0,0
81,2,0,0
96,2,0,0
29,0,0,0
92,0,0,0
96,0,0,0
287,2,0,0
40,2,0,0
32,2,0,0
53,0,0,0
44,0,0,0
164,2,0,0
81,2,0,0
79,2,0,0
287,2,0,0
46,0,0,0
55,2,0,0
32,2,0,0
77,0,0,0
81,0,0,0
31,2,0,0
287,2,0,0
46,0,0,0
92,0,0,0
96,0,0,0
32,0,0,0
92,2,0,0
106,0,0,0
46,0,0,0
41,0,0,0
96,0,0,0
32,0,0,0
12,0,0,0
287,2,0,0
92,2,0,0
36,0,0,0
41,0,0,0
56,0,0,0
44,0,0,0
39,3,0,0
29,0,0,0
16,0,0,0
46,0,0,0
25,2,0,0
43,0,0,0
29,2,0,0
53,0,0,0
29,2,0,0
92,2,0,0
106,0,0,0
96,0,0,0
36,0,0,0
18,0,0,0
53,0,0,0
56,0,0,0
96,0,0,0
53,0,0,0
18,0,0,0
18,0,0,0
18,0,0,0
96,0,0,0
53,0,0,0
96,0,0,0
7,0,0,0
46,0,0,0
44,0,0,0
18,0,0,0
9,0,0,0
11,0,0,0
287,2,0,0
41,0,0,0
22,2,0,0
21,2,0,0
21,2,0,0
21,2,0,0
29,2,0,0
21,2,0,0
164,2,0,0
21,0,0,0
96,2,0,0
37,2,0,0
21,0,0,0
21,0,0,0
21,0,0,0
21,0,0,0
21,0,0,0
21,0,0,0
6,0,0,0
287,2,0,0
11,0,0,0
77,0,0,0
53,0,0,0
44,0,0,0
164,0,0,0
81,2,0,0
52,0,0,0
19,0,0,0
92,0,0,0
106,0,0,0
106,0,0,0
92,0,0,0
106,0,0,0
287,4,0,0
46,0,0,0
40,0,0,0
59,0,0,0
25,4,0,0
41,0,0,0
77,0,0,0
96,0,0,0
40,0,0,0
29,0,0,0
52,0,0,0
287,2,0,0
106,0,0,0
32,2,0,0
13,2,0,0
164,0,0,0
11,0,0,0
106,0,0,0
55,0,0,0
92,2,0,0
106,0,0,0
41,0,0,0
96,0,0,0
36,0,0,0
59,0,0,0
27,0,0,0
56,0,0,0
25,0,0,0
17,0,0,0
53,0,0,0
27,0,0,0
17,0,0,0
92,2,0,0
106,0,0,0
41,0,0,0
96,0,0,0
56,0,0,0
39,2,0,0
287,2,0,0
46,0,0,0
27,0,0,0
41,0,0,0
287,2,0,0
53,0,0,0
287,2,0,0
81,0,0,0
9,0,0,0
9,0,0,0
9,0,0,0
41,0,0,0
27,0,0,0
2,0,0,0
287,2,0,0
92,0,0,0
41,0,0,0
164,0,0,0
287,4,0,0
46,0,0,0
40,0,0,0
32,2,0,0
25,4,5,0
46,2,0,0
44,0,0,0
29,0,0,0
40,0,0,0
19,0,0,0
287,2,0,0
92,0,0,0
48,0,0,0
55,0,0,0
92,0,0,0
27,0,0,0
92,0,0,0
10,0,0,0
12,0,0,0
10,0,0,0
36,0,0,0
27,0,0,0
53,0,0,0
13,0,0,0
164,2,0,0
43,2,0,0
13,0,0,0
12,0,0,0
287,3,0,0
32,2,0,0
25,3,0,0
41,0,0,0
77,0,0,0
164,2,0,0
81,0,0,0
96,2,0,0
40,0,0,0
31,2,0,0
52,0,0,0
18,0,0,0
29,0,0,0
18,0,0,0
92,0,0,0
106,0,0,0
59,0,0,0
287,2,0,0
287,2,0,0
41,0,0,0
77,0,0,0
164,2,0,0
81,2,0,0
96,2,0,0
15,0,0,0
287,2,0,0
287,2,0,0
95,0,0,0
287,2,0,0
44,0,0,0
287,2,0,0
92,0,0,0
29,0,0,0
12,0,0,0
12,0,0,0
92,0,0,0
106,0,0,0
287,2,0,0
7,0,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,4,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,4,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,2,0,0
287,0,0,0
287,2,0,0
287,0,0,0
287,2,0,0
287,4,5,0
287,4,5,0
287,4,5,0
287,4,5,0
287,5,20,0
287,4,5,0
287,5,20,0
287,4,5,0
287,4,5,0
287,4,5,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,2,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
287,0,0,0
77,0,0,0
164,0,0,0
59,0,0,0
41,0,0,0
46,0,0,0
16,0,0,0
43,0,0,0
13,0,0,0
32,2,0,0
164,0,0,0
92,0,0,0
96,2,0,0
29,0,0,0
48,2,0,0
24,0,0,0
12,0,0,0
46,0,0,0
40,0,0,0
53,0,0,0
95,0,0,0
42,0,0,0
79,0,0,0
12,0,0,0
46,0,0,0
55,0,0,0
164,0,0,0
92,2,0,0
106,0,0,0
46,0,0,0
96,4,5,0
46,0,0,0
44,0,0,0
39,0,0,0
48,4,5,0
15,4,5,0
106,0,0,0
96,2,0,0
59,0,0,0
48,2,0,0
77,0,0,0
32,0,0,0
5,0,0,0
40,0,0,0
41,0,0,0
44,0,0,0
96,0,0,0
27,0,0,0
53,0,0,0
81,2,0,0
18,0,0,0
46,0,0,0
25,4,0,0
77,0,0,0
164,0,0,0
29,0,0,0
40,0,0,0
52,0,0,0
19,0,0,0
15,0,0,0
15,0,0,0
27,0,0,0
77,0,0,0
10,0,0,0
55,0,0,0
53,0,0,0
164,2,0,0
95,2,0,0
18,2,0,0
48,4,5,0
32,4,5,0
27,0,0,0
11,0,0,0
96,0,0,0
32,2,0,0
34,2,0,0
56,0,0,0
29,0,0,0
16,0,0,0
43,0,0,0
29,0,0,0
14,0,0,0
77,0,0,0
164,0,0,0
29,0,0,0
22,0,0,0
14,0,0,0
14,0,0,0
14,0,0,0
14,0,0,0
14,0,0,0
53,0,0,0
164,0,0,0
46,0,0,0
39,0,0,0
164,2,0,0
95,2,0,0
52,0,0,0
79,0,0,0
40,0,0,0
164,0,0,0
77,0,0,0
96,0,0,0
52,0,0,0
81,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,2,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,2,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,2,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,2,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,2,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,2,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
92,0,0,0
